Player,Nation,Born,Min,MP,Gls,Ast,npxG,xAG,KP,PrgP,PrgC,Tkl,Int,Succ,Age,Squad,Comp,Pos,position_group,npxG_per90,xAG_per90,KP_per90,PrgP_per90,PrgC_per90,Tkl_per90,Int_per90,Succ_per90,npxG_per90_pct,npxG_per90_pct_global,npxG_per90_pct_pos,xAG_per90_pct,xAG_per90_pct_global,xAG_per90_pct_pos,KP_per90_pct,KP_per90_pct_global,KP_per90_pct_pos,PrgP_per90_pct,PrgP_per90_pct_global,PrgP_per90_pct_pos,PrgC_per90_pct,PrgC_per90_pct_global,PrgC_per90_pct_pos,Tkl_per90_pct,Tkl_per90_pct_global,Tkl_per90_pct_pos,Int_per90_pct,Int_per90_pct_global,Int_per90_pct_pos,Succ_per90_pct,Succ_per90_pct_global,Succ_per90_pct_pos,player_id,player_name,minutes_played,npxG_per90_scaled,xAG_per90_scaled,KP_per90_scaled,PrgP_per90_scaled,PrgC_per90_scaled,Tkl_per90_scaled,Int_per90_scaled,Succ_per90_scaled,cluster_id,cluster_name,gmm_probabilities_json,pca_x,pca_y
Federico Gatti,it ITA,1998.0,2195,30,1,0,2.5,0.5,6,73,24,28,18,7,26.0,Juventus,it Serie A,DF,Defender,0.103,0.021,0.246,2.993,0.984,1.148,0.738,0.287,58.9,58.9,92.0,17.5,17.5,34.5,14.0,14.0,31.3,40.7,40.7,39.3,34.5,34.5,48.9,25.9,25.9,15.8,48.7,48.7,23.3,26.4,26.4,47.4,federico_gatti_it_ita_1998_0,Federico Gatti,2195,-0.2054984031711146,-0.942449188155677,-1.0663628625783188,-0.3666421061702141,-0.5575900452820691,-0.6695429950985846,-0.1361468034636507,-0.7034701355011697,1,Stopper / Defensive Destroyer,"{""Stopper / Defensive Destroyer"": 0.3949, ""Attacking Fullback / Playmaker"": 0.3087, ""Ball-Playing Defender"": 0.2963}",-1.349,-1.126
Federico Valverde,uy URU,1998.0,3032,36,6,4,2.7,3.1,39,226,66,50,55,16,26.0,Real Madrid,es La Liga,"MF,DF",Midfielder,0.08,0.092,1.158,6.708,1.959,1.484,1.633,0.475,51.3,51.3,46.4,56.1,56.1,49.3,67.9,67.9,58.3,94.3,94.3,88.6,66.5,66.5,67.8,44.1,44.1,27.4,94.9,94.9,95.3,42.9,42.9,30.4,federico_valverde_uy_uru_1998_0,Federico Valverde,3032,-0.3727657654097684,-0.0839374365055384,0.3460919192288884,1.8055097485379905,0.1928531619902213,-0.2316518654546959,1.7115156263423186,-0.4117966779874754,1,Box-to-Box / Pressing Engine,"{""Box-to-Box / Pressing Engine"": 0.5706, ""Deep-Lying Playmaker"": 0.4294}",-0.524,1.693
Felix Agu,ng NGA,1999.0,1751,22,3,0,1.4,1.8,20,43,33,30,21,9,24.0,Werder Bremen,de Bundesliga,DF,Defender,0.072,0.093,1.028,2.21,1.696,1.542,1.079,0.463,47.5,47.5,81.1,56.6,56.6,77.7,61.8,61.8,82.6,20.6,20.6,14.8,59.8,59.8,70.9,47.4,47.4,40.0,72.3,72.3,58.1,41.9,41.9,65.3,felix_agu_ng_nga_1999_0,Felix Agu,1751,-0.4309457174927785,-0.0718457216935646,0.1447551630502296,-0.8244603840266135,-0.0095740826380991,-0.1560635156947389,0.5678229044289029,-0.430414132722392,0,Ball-Playing Defender,"{""Stopper / Defensive Destroyer"": 0.1338, ""Attacking Fullback / Playmaker"": 0.442, ""Ball-Playing Defender"": 0.4241}",-0.497,-0.184
Felix Nmecha,de GER,2000.0,1509,26,4,1,1.3,1.1,14,85,21,34,23,17,23.0,Dortmund,de Bundesliga,MF,Midfielder,0.078,0.066,0.835,5.07,1.252,2.028,1.372,1.014,50.2,50.2,45.0,43.3,43.3,33.8,50.5,50.5,37.8,82.5,82.5,68.3,44.9,44.9,44.4,70.9,70.9,56.8,86.8,86.8,86.2,74.6,74.6,71.1,felix_nmecha_de_ger_2000_0,Felix Nmecha,1509,-0.3873107534305209,-0.3983220216168568,-0.1541524826611641,0.8477749603786261,-0.3513143739497883,0.4773147253973142,1.1727001021195724,0.4244373305225309,1,Box-to-Box / Pressing Engine,"{""Box-to-Box / Pressing Engine"": 0.5656, ""Deep-Lying Playmaker"": 0.4344}",-0.786,1.197
Felix Passlack,de GER,1998.0,2334,31,1,6,1.3,3.9,25,65,43,53,18,12,26.0,Bochum,de Bundesliga,"DF,MF",Defender,0.05,0.15,0.964,2.506,1.658,2.044,0.694,0.463,34.7,34.7,61.2,76.6,76.6,90.2,57.8,57.8,79.5,28.1,28.1,23.3,58.4,58.4,69.0,71.5,71.5,68.9,45.2,45.2,19.8,41.9,41.9,65.3,felix_passlack_de_ger_1998_0,Felix Passlack,2334,-0.590940585721056,0.617382022588941,0.0456355292391974,-0.6513898728574,-0.0388221255881987,0.498166683951785,-0.2269816044820448,-0.430414132722392,0,Ball-Playing Defender,"{""Stopper / Defensive Destroyer"": 0.0092, ""Attacking Fullback / Playmaker"": 0.5507, ""Ball-Playing Defender"": 0.44}",-0.124,0.107
Ferland Mendy,fr FRA,1995.0,1005,14,0,1,0.0,0.5,3,36,12,17,9,3,29.0,Real Madrid,es La Liga,DF,Defender,0.0,0.045,0.269,3.224,1.075,1.522,0.806,0.269,1.2,1.2,2.6,31.4,31.4,55.3,15.5,15.5,34.4,46.4,46.4,47.1,38.0,38.0,52.0,46.1,46.1,38.8,53.4,53.4,29.0,24.4,24.4,44.2,ferland_mendy_fr_fra_1995_0,Ferland Mendy,1005,-0.9545652862398688,-0.6522480326683063,-1.030741744177479,-0.231576943737483,-0.4875486792699887,-0.1821284638878275,0.0042342526556856,-0.7313963176035445,1,Stopper / Defensive Destroyer,"{""Stopper / Defensive Destroyer"": 0.3075, ""Attacking Fullback / Playmaker"": 0.3184, ""Ball-Playing Defender"": 0.3742}",-1.547,-0.38
Fermin López,es ESP,2003.0,1252,28,6,5,5.6,3.9,29,79,31,19,5,25,21.0,Barcelona,es La Liga,"MF,FW",Midfielder,0.403,0.28,2.085,5.679,2.228,1.366,0.359,1.797,94.4,94.4,98.7,96.9,96.9,97.2,94.5,94.5,91.9,87.7,87.7,76.5,72.9,72.9,74.5,38.1,38.1,22.1,20.2,20.2,11.4,93.1,93.1,92.5,fermin_l_pez_es_esp_2003_0,Fermin López,1252,1.976249799941762,2.1893049481455336,1.7817778652105565,1.2038558431558255,0.3998985186632943,-0.3854350597939185,-0.9185647485993628,1.6392262519758425,0,Deep-Lying Playmaker,"{""Box-to-Box / Pressing Engine"": 0.2141, ""Deep-Lying Playmaker"": 0.7859}",3.701,0.418
Fernando Calero,es ESP,1995.0,715,21,1,0,0.3,0.0,3,17,0,18,16,0,28.0,Espanyol,es La Liga,"DF,MF",Defender,0.038,0.0,0.378,2.14,0.0,2.266,2.014,0.0,26.1,26.1,47.0,2.1,2.1,4.3,22.7,22.7,47.1,19.3,19.3,13.5,0.4,0.4,0.7,79.5,79.5,78.5,98.4,98.4,97.6,1.9,1.9,4.3,fernando_calero_es_esp_1995_0,Fernando Calero,715,-0.6782105138455711,-1.1963751992071263,-0.8619286178430652,-0.8653892211274409,-1.3149604206214884,0.7874876088950685,2.498062426069776,-1.148737594577926,1,Stopper / Defensive Destroyer,"{""Stopper / Defensive Destroyer"": 0.3353, ""Attacking Fullback / Playmaker"": 0.3209, ""Ball-Playing Defender"": 0.3438}",-3.203,0.349
Ferrán Torres,es ESP,2000.0,1106,27,10,6,8.0,3.1,19,35,23,8,4,11,24.0,Barcelona,es La Liga,"FW,MF",Forward,0.651,0.252,1.546,2.848,1.872,0.651,0.325,0.895,99.3,99.3,97.1,94.3,94.3,88.8,83.2,83.2,73.6,36.9,36.9,69.0,65.0,65.0,44.6,8.2,8.2,28.6,18.3,18.3,57.6,69.6,69.6,46.2,ferr_n_torres_es_esp_2000_0,Ferrán Torres,1106,3.779828314515073,1.850736933410267,0.9470046992082708,-0.4514232687362139,0.1258905373413092,-1.3172569576968365,-0.988755276659031,0.2398142377346074,0,Clinical Finisher / Poacher,"{""Clinical Finisher / Poacher"": 0.5831, ""Dynamic Winger / Dribbler"": 0.4169}",3.164,-2.211
Fikayo Tomori,eng ENG,1997.0,1593,22,0,1,0.1,0.7,8,63,8,40,20,2,26.0,Milan,it Serie A,DF,Defender,0.006,0.04,0.452,3.559,0.452,2.26,1.13,0.113,3.2,3.2,7.0,29.1,29.1,52.6,26.7,26.7,53.5,54.9,54.9,57.2,12.2,12.2,21.1,79.1,79.1,77.9,75.4,75.4,62.2,9.7,9.7,20.7,fikayo_tomori_eng_eng_1997_0,Fikayo Tomori,1593,-0.9109303221776112,-0.7127066067281752,-0.7473215412490593,-0.0357032233263798,-0.9670626465834624,0.7796681244371417,0.6731086965184049,-0.973423229157461,1,Stopper / Defensive Destroyer,"{""Stopper / Defensive Destroyer"": 0.3517, ""Attacking Fullback / Playmaker"": 0.2997, ""Ball-Playing Defender"": 0.3486}",-2.118,0.398
